stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"8503307:0:2","Bassersdorf","47.4386247696998","8.62619828109826","","8503307P"
"8503307:0:3","Bassersdorf","47.4386855298772","8.62619828109826","","8503307P"
"8503307P","Bassersdorf","47.4385640094523","8.62619828109826","1",""
"8503308:0:3","Kloten","47.4486674742141","8.58378881652907","","8503308P"
"8503308:0:4","Kloten","47.4487282227932","8.58378881652907","","8503308P"
"8503308P","Kloten","47.4486067255649","8.58378881652907","1",""
"8503309:0:1","Kloten Balsberg","47.4423492388931","8.57070036283763","",""
"8503310:0:2","Glattbrugg","47.4309501952231","8.55883361793276","","8503310P"
"8503310:0:3","Glattbrugg","47.4308894261134","8.55883361793276","","8503310P"
"8503310P","Glattbrugg","47.4308286569336","8.55883361793276","1",""
"8503311:0:3","Rümlang","47.4541284910917","8.5327465420783","","8503311P"
"8503311:0:4","Rümlang","47.454189233363","8.5327465420783","","8503311P"
"8503311P","Rümlang","47.4540677487502","8.5327465420783","1",""
"8503312","Oberglatt","47.4702045216066","8.51060307032167","","8503312P"
"8503312:0:1","Oberglatt","47.4703866924948","8.51060307032167","","8503312P"
"8503312:0:2","Oberglatt","47.4703259689356","8.51060307032167","","8503312P"
"8503312:0:3","Oberglatt","47.4702652453062","8.51060307032167","","8503312P"
"8503312P","Oberglatt","47.4702045216066","8.51060307032167","1",""
"8503313:0:5","Niederglatt","47.4875322181576","8.50329976706076","","8503313P"
"8503313:0:6","Niederglatt","47.4875929218341","8.50329976706076","","8503313P"
"8503313P","Niederglatt","47.4874715144109","8.50329976706076","1",""
"8503314","Niederhasli","47.4783287292926","8.48869316053894","",""
"8503314:0:1","Niederhasli","47.4783894436049","8.48869316053894","",""
"8503315","Dielsdorf","47.4824146459892","8.45941706542541","","8503315P"
"8503315:0:2","Dielsdorf","47.4824753555799","8.45941706542541","","8503315P"
"8503315:0:3","Dielsdorf","47.4825360651004","8.45941706542541","","8503315P"
"8503315P","Dielsdorf","47.4824146459892","8.45941706542541","1",""
"8503316","Steinmaur","47.4899785207639","8.44684065144599","",""
"8503316:0:1","Steinmaur","47.4900392216132","8.44684065144599","",""
"8503317","Schöfflisdorf-Oberweningen","47.4979722188086","8.41179737220761","",""
"8503317:0:1","Schöfflisdorf-Oberweningen","47.4980329104184","8.41179737220761","",""
"8503318","Niederweningen Dorf","47.5059040176006","8.38104804002792","",""
"8503318:0:1","Niederweningen Dorf","47.5059647000414","8.38104804002792","",""
"8503319","Niederweningen","47.5111952627873","8.36960350330664","",""
"8503319:0:1","Niederweningen","47.511255939111","8.36960350330664","",""
"8503322","Nidfurn, Abzw. Haslen","46.9873407222243","9.05689554412932","",""
"8503324","Luchsingen, Schulhaus","46.9669368940371","9.03656666924686","",""
"8503325","Diesbach GL, Schulhaus","46.9525839701111","9.03351239728043","",""
"8503326","Rüti GL, Schulhaus","46.9366508438314","9.01464777631129","",""
"8503327","Linthal Braunwaldbahn, Parkpl.","46.9278359114019","9.00125389542321","",""
"8503330","Satigny, Champvigny","46.2205050769705","6.03490004586069","",""
"8503331","Grand-Saconnex, Sonnex","46.228516023366","6.12347393288721","",""
