stop_id,stop_name,stop_lat,stop_lon
"821GA00004","Carlow Train Station","52.8406711638431","-6.92236880435028"
"821GA00009","Bagnelstown Train Station","52.6988495814558","-6.95286698953847"
"825GA00003","Killester Train Station","53.3728408117471","-6.2051125873671"
"825GA00007","Clontarf Road Train Station","53.3633758069152","-6.22732837229738"
"825GA00011","Harmonstown Train Station","53.3785080555454","-6.19232296116531"
"825GA00015","Raheny Train Station","53.3815005994761","-6.17633685037811"
"825GA00019","Kilbarrack Train Station","53.3874909088601","-6.16137684612938"
"825GA00025","Howth Junction Train Station","53.3914808994281","-6.15491975287815"
"825GA00032","Skerries Train Station","53.5740283119946","-6.11911827452846"
"825GA00043","Adamstown Train Station","53.3358647355768","-6.46892257177583"
"825GA00052","Ashtown Train Station","53.3754531282256","-6.3325340897071"
"825GA00053","Ashtown Train Station","53.3752974775524","-6.33232975061206"
"825GA00065","Tara Street Train Station","53.3470738166575","-6.2543204011324"
"825GA00104","Balbriggan Train Station","53.6118626410297","-6.18217162223787"
"825GA00133","Castleknock Train Station","53.3815399976217","-6.37174065732222"
"825GA00134","Castleknock Train Station","53.3814819986502","-6.37144222828637"
"825GA00137","Chery Orchard and Park","53.3338708573909","-6.37921783185244"
"825GA00144","Clondalkin Fonthill Train Station","53.3335003278929","-6.40574869157386"
"825GA00156","Clonsilla Train Station","53.3831076456104","-6.42357346417015"
"825GA00157","Clonsilla Train Station","53.3829824723825","-6.42362318631108"
"825GA00162","Citybound","53.3777264858856","-6.39076480046325"
"825GA00163","Coolmine Train Station","53.3776178756794","-6.39070877301582"
"825GA00167","Connolly Train Station","53.3524594780812","-6.24708495616048"
"825GA00184","Docklands Train Station","53.350836770956","-6.23943044031671"
"825GA00194","Drumcondra Train Station","53.3631125041542","-6.25889374870446"
"825GA00204","Pearse Train Station","53.3431538807455","-6.24811254552312"
"825GA00208","Navan Road Parkway Train Station","53.3777399723166","-6.34573201995217"
"825GA00214","Portmarnock Train Station","53.4173901463478","-6.15119524166743"
"825GA00224","Malahide Train Station","53.4509886645736","-6.15648162561621"
"825GA00226","Broombridge Train Station","53.3727744627586","-6.29939422556"
"825GA00229","Broombridge Train Station","53.3726444206991","-6.29909882361402"
"825GA00410","Clondalkin Fonthill Train Station","53.3333565924631","-6.40575405225598"
"826GA00004","Athy Train Station","52.9926715743336","-6.97675637907543"
"826GA00010","Sallins and Naas Train Station","53.2470595806189","-6.66437680088072"
"826GA00015","Newbridge Train Station","53.1852974847676","-6.8086369998771"
"826GA00023","Maynooth Train Station","53.3780847233527","-6.59037360354267"
"826GA00028","Monasterevin Train Station","53.145423147527","-7.06364190287625"
"826GA00029","Monasterevin Train Station","53.1453329346652","-7.0635990200832"
"826GA00034","Leixlip Confey Train Station","53.3740849901673","-6.4854367967747"
"826GA00043","Leixlip Louisa Bridge Train Station","53.370066425628","-6.50675358536668"
"826GA00047","Hazelhatch and Celbridge Train Station","53.3220594274633","-6.52383157320893"
"826GA00054","Kilcock Train Station","53.3990656226122","-6.6690045874026"
"826GA00058","Kildare Train Station","53.1627785833374","-6.90850000274035"
"827GA00003","Thomastown Train Station","52.5230985904687","-7.14902018857128"
"827GA00007","Kilkenny (MacDonagh) Train Station","52.6543572870487","-7.24340208147433"
"828GA00004","Portarlinton Train Station","53.146090483791","-7.18101830146603"
"828GA00005","Portarlinton Train Station","53.145973456163","-7.18099063101116"
"828GA00010","Portlaoise Train Station","53.0368321445627","-7.30133122132526"
"828GA00015","Ballybrophy Train Station","52.9003223926115","-7.60213725996727"
